date,new_diagnoses,new_deaths,new_recoveries,cum_diagnoses,cum_deaths,cum_recoveries,vent,cum_tests,new_tests
2020-03-31,1,,,1,0,,,,
2020-04-01,1,,,2,0,,,,
2020-04-02,1,,,3,0,,,,
2020-04-04,3,,,6,0,,,,
2020-04-06,5,,,11,0,,,,
2020-04-08,6,,,17,0,,,,
2020-04-09,3,,,20,0,,,,
2020-04-11,8,,2.0,28,0,2.0,,,
2020-04-13,2,,,30,0,2.0,,,
2020-04-14,5,,,35,0,2.0,,,
2020-04-15,3,,,38,0,2.0,,,
2020-04-16,9,,,47,0,2.0,,,
2020-04-17,5,,1.0,52,0,3.0,,,
2020-04-18,10,,,62,0,3.0,,19388.0,
2020-04-19,9,,,71,0,3.0,,22314.0,2926.0
2020-04-20,12,,,83,0,3.0,,23261.0,947.0
2020-04-21,43,,5.0,126,0,8.0,,24819.0,1558.0
2020-04-22,9,,,135,0,8.0,,27053.0,2234.0
2020-04-23,8,,4.0,143,0,12.0,,29672.0,2619.0
2020-04-24,8,,2.0,151,0,14.0,,33087.0,3415.0
2020-04-25,63,1.0,3.0,214,1,17.0,,36423.0,3336.0
2020-04-26,68,1.0,4.0,282,2,21.0,,38017.0,1594.0
2020-04-27,27,,7.0,309,2,28.0,,39461.0,1444.0
2020-04-28,14,,5.0,323,2,33.0,,41406.0,1945.0
2020-04-29,24,,11.0,347,2,44.0,,43787.0,2381.0
2020-04-30,34,,,381,2,44.0,,46507.0,2720.0
2020-05-01,41,,10.0,422,2,54.0,,48810.0,2303.0
2020-05-02,28,,14.0,450,2,68.0,,51568.0,2758.0
2020-05-03,47,,7.0,497,2,75.0,,55160.0,3592.0
2020-05-04,36,1.0,6.0,533,3,81.0,,56952.0,1792.0
2020-05-05,21,1.0,27.0,554,4,108.0,,58274.0,1322.0
2020-05-06,33,,1.0,587,4,109.0,,60243.0,1969.0
2020-05-07,17,,22.0,604,4,131.0,,62933.0,2690.0
2020-05-08,16,,32.0,620,4,163.0,,65842.0,2909.0
2020-05-09,20,,9.0,640,4,172.0,,69170.0,3328.0
2020-05-10,28,,31.0,668,4,203.0,,71892.0,2722.0
2020-05-11,38,,20.0,706,4,223.0,,73722.0,1830.0
2020-05-12,20,,66.0,726,4,289.0,,75132.0,1410.0
2020-05-13,43,,53.0,769,4,342.0,,78026.0,2894.0
2020-05-14,39,,35.0,808,4,377.0,,81554.0,3528.0
2020-05-15,38,,44.0,846,4,421.0,,85268.0,3714.0
2020-05-16,38,,27.0,884,4,448.0,,89262.0,3994.0
2020-05-17,40,,16.0,924,4,464.0,,92113.0,2851.0
2020-05-18,45,,15.0,969,4,479.0,,93543.0,1430.0
2020-05-19,44,1.0,49.0,1013,5,528.0,,95385.0,1842.0
2020-05-20,40,2.0,26.0,1053,7,554.0,,98551.0,3166.0
2020-05-21,57,1.0,26.0,1110,8,580.0,,101543.0,2992.0
2020-05-22,74,,18.0,1184,8,598.0,,104264.0,2721.0
2020-05-23,69,,21.0,1253,8,619.0,,107491.0,3227.0
2020-05-24,71,,16.0,1324,8,635.0,,110528.0,3037.0
2020-05-25,81,,,1405,8,635.0,,111873.0,1345.0
2020-05-26,79,2.0,34.0,1484,10,669.0,,114483.0,2610.0
2020-05-27,69,1.0,22.0,1553,11,691.0,,118027.0,3544.0
2020-05-28,79,,27.0,1632,11,718.0,,122124.0,4097.0
2020-05-29,75,2.0,13.0,1707,13,731.0,,125010.0,2886.0
2020-05-30,71,,35.0,1778,13,766.0,,128318.0,3308.0
2020-05-31,69,,20.0,1847,13,786.0,,132319.0,4001.0
2020-06-01,67,,18.0,1914,13,804.0,,133246.0,927.0
2020-06-02,70,,28.0,1984,13,832.0,,135609.0,2363.0
