date,cum_diagnoses,cum_deaths,cum_recoveries,cum_tests,new_tests,new_diagnoses,new_recoveries,new_deaths
2020-03-29,3,,,,,3,,
2020-03-30,3,,,,,0,,
2020-03-31,3,,,,,0,,
2020-04-01,7,,,,,4,,
2020-04-02,9,,,,,2,,
2020-04-03,9,,,,,0,,
2020-04-04,10,,,,,1,,
2020-04-05,10,,,,,0,,
2020-04-06,10,,,,,0,,
2020-04-07,14,,,,,4,,
2020-04-08,15,,,,,1,,
2020-04-09,15,,,,,0,,
2020-04-10,17,,3.0,,,2,,
2020-04-11,17,,3.0,,,0,0.0,
2020-04-12,19,,5.0,,,2,2.0,
2020-04-13,20,,5.0,,,1,0.0,
2020-04-14,20,,6.0,,,0,1.0,
2020-04-15,22,,9.0,,,2,3.0,
2020-04-16,23,,9.0,,,1,0.0,
2020-04-17,26,,9.0,,,3,0.0,
2020-04-18,31,,13.0,,,5,,
2020-04-19,33,,14.0,,,2,1.0,
2020-04-20,36,,16.0,,,3,2.0,
2020-04-21,41,,16.0,,,5,0.0,
2020-04-22,45,,17.0,,,4,1.0,
2020-04-23,53,,19.0,,,8,2.0,
2020-04-24,54,,19.0,,,1,0.0,
2020-04-25,58,1.0,19.0,,,4,0.0,
2020-04-26,62,2.0,20.0,,,4,1.0,1.0
2020-04-27,71,1.0,20.0,,,9,0.0,-1.0
2020-04-28,82,1.0,21.0,,,11,1.0,0.0
2020-04-29,87,2.0,22.0,,,5,1.0,1.0
2020-04-30,97,3.0,24.0,,,10,2.0,1.0
2020-05-01,107,3.0,26.0,,,10,2.0,0.0
2020-05-02,116,3.0,26.0,,,9,0.0,0.0
2020-05-03,127,3.0,27.0,60512.0,,11,1.0,0.0
2020-05-04,161,3.0,31.0,62513.0,2001.0,34,4.0,0.0
2020-05-05,191,3.0,39.0,64515.0,2002.0,30,8.0,0.0
2020-05-06,197,3.0,40.0,66518.0,2003.0,6,1.0,0.0
2020-05-07,208,4.0,46.0,68522.0,2004.0,11,6.0,1.0
2020-05-08,223,6.0,46.0,70527.0,2005.0,15,0.0,2.0
2020-05-09,245,6.0,54.0,72533.0,2006.0,22,8.0,0.0
2020-05-10,279,6.0,54.0,74540.0,2007.0,34,0.0,0.0
2020-05-11,302,7.0,58.0,76548.0,2008.0,23,4.0,1.0
2020-05-12,332,7.0,59.0,78557.0,2009.0,30,1.0,0.0
2020-05-13,355,7.0,68.0,80567.0,2010.0,23,9.0,0.0
2020-05-14,389,7.0,70.0,82578.0,2011.0,34,2.0,0.0
2020-05-15,436,7.0,74.0,84590.0,2012.0,47,4.0,0.0
2020-05-16,476,7.0,88.0,86603.0,2013.0,40,14.0,0.0
2020-05-17,534,7.0,88.0,88617.0,2014.0,58,0.0,0.0
2020-05-18,599,7.0,91.0,90632.0,2015.0,65,3.0,0.0
2020-05-19,652,7.0,104.0,92648.0,2016.0,53,13.0,0.0
2020-05-20,717,7.0,115.0,94665.0,2017.0,65,11.0,0.0
2020-05-21,764,7.0,120.0,96683.0,2018.0,47,5.0,0.0
2020-05-22,838,7.0,131.0,98702.0,2019.0,74,11.0,0.0
2020-05-23,925,16.0,192.0,100722.0,2020.0,87,61.0,9.0
2020-05-24,985,18.0,228.0,102743.0,2021.0,60,36.0,2.0
2020-05-25,1044,18.0,228.0,105302.0,2559.0,59,0.0,0.0
2020-05-26,1097,18.0,265.0,106977.0,1675.0,53,37.0,0.0
2020-05-27,1139,18.0,288.0,110386.0,3409.0,42,23.0,0.0
2020-05-28,1226,18.0,301.0,113414.0,3028.0,87,13.0,0.0
2020-05-29,1268,18.0,313.0,117805.0,4391.0,42,12.0,0.0
2020-05-30,1318,18.0,340.0,121767.0,3962.0,50,27.0,0.0
2020-05-31,1387,18.0,349.0,125353.0,3586.0,69,9.0,0.0
2020-06-01,1411,18.0,359.0,127864.0,2511.0,24,10.0,0.0
2020-06-02,1437,18.0,386.0,129169.0,1305.0,26,27.0,0.0
2020-06-03,1482,18.0,437.0,131964.0,2795.0,45,51.0,0.0
2020-06-04,1540,18.0,566.0,133985.0,2021.0,58,129.0,0.0
2020-06-05,1595,18.0,605.0,136324.0,2339.0,55,39.0,0.0
2020-06-06,1676,18.0,664.0,138548.0,2224.0,81,59.0,0.0
