S,E,I,R,H,C,D
2769113.0000000005,462.0,2520.0000000000005,6193.000000000002,1845.0,26.000000000000004,129.00000000000003
2768942.383665349,563.6940833791309,2269.5881203932026,6811.141809634713,1541.2122755586934,29.168411680858036,130.811633994408
2768806.7542423634,617.5824200032375,2069.770875834505,7326.753745190806,1303.6237353970123,30.73813429128683,132.77684690015963
2768693.982359077,643.2871373258041,1905.9340665097138,7761.610543519506,1117.186838418927,31.19191031135265,134.8071448086078
2768597.634144514,651.6381792499451,1768.4991705882217,8132.415450149071,970.0872319761081,30.884457649075646,136.8413658347795
2768513.996479411,649.0085397373604,1650.9318630904404,8451.977396900558,853.1734652154666,30.073912807538274,138.83834278900144
2768440.770794305,639.3287968728147,1548.638229493902,8730.129523270149,759.4150371335259,28.946226225379807,140.771392641356
2768376.4398871553,625.1138978779737,1458.3117163187894,8974.43800468592,683.4384753767058,27.633805825189473,142.62421269362312
2768319.941445631,608.0196557637447,1377.5269008499947,9190.74500777507,621.1495246589998,26.229618859688628,144.38784638493598
2768270.4908138346,589.1601626861024,1304.4763977854138,9383.582503546284,569.4338897266551,24.797777152730603,146.05845518220164
2768270.4908138346,589.1601626861024,1304.4763977854138,9383.582503546282,569.4338897266551,24.797777152730603,146.05845518220167
2768179.6586672887,612.0515268272824,1242.6046136947318,9552.773789121633,528.196830957746,24.8999821238893,147.8145898894184
2768110.233195307,612.3019648603022,1191.5408560704516,9706.154525084508,493.4776818613716,24.72390576636665,149.56787094435677
2768054.5013560792,601.124720859257,1146.4452486518423,9846.117471525828,464.15704425037046,24.35254024728973,151.3016182697876
2768008.5258299685,584.1942733473354,1104.7984970746948,9974.518196004023,439.1103515118567,23.84855503979451,153.0042969283558
2767970.127153273,564.5183383757285,1065.284872567896,10092.778173792512,417.3653183235513,23.257940087140028,154.66820344575498
2767938.0123407543,543.7328839356561,1027.2295718031428,10201.982837978454,398.1402202197138,22.613727794400532,156.28841737057166
2767911.3596750363,522.7387650757681,990.3022928653193,10302.96494443351,380.8330926779545,21.939229064651766,157.86200069305121
2767889.609646,502.0307150009367,954.356645551009,10396.371258718398,364.99369042070396,21.250639784604356,159.38740436147407
2767872.3549093497,481.87407942964256,919.3416756180607,10482.713866336311,350.2923833328649,20.55904787825492,160.86403788240855
2767872.3549093497,481.87407942964256,919.3416756180607,10482.713866336311,350.2923833328649,20.55904787825492,160.86403788240855
2767826.5752234957,491.5987096421739,888.5931622364411,10563.270492507914,336.75945492091705,18.885022508030918,162.3179345063519
2767797.6791566005,484.80886965206844,862.2729469409838,10637.852080629385,324.32314563359387,17.40812209823909,163.655678253159
2767779.3247596147,470.34760430513643,837.418273861641,10706.97551663663,312.93957694840213,16.1033880407673,164.89088039040547
2767768.34468848,452.5092397043772,812.7529292206125,10771.020343341956,302.38839708022397,14.94897013167693,166.0354318298369
2767763.010319405,433.46845221570027,787.8103451584138,10830.251682428538,292.43417943091936,13.925322800488908,167.09969833998485
2767762.3069240223,414.3391583800661,762.5109327958119,10884.851136641184,282.8842299084426,13.014938973739536,168.09267904729148
2767765.596082357,395.68237234672785,736.9500778097023,10934.945485519223,273.60157394495786,12.20225497200062,169.02215280988224
2767772.4476639037,377.76396186679904,711.2904245682168,10980.629641502903,264.4999089677431,11.473579970191677,169.8948189711196
2767782.551687089,360.6909267429665,685.7078367725258,11021.98338476431,255.53273115459197,10.817001041506824,170.71643217661952
2767782.551687089,360.6909267429665,685.7078367725258,11021.98338476431,255.53273115459197,10.817001041506824,170.71643217661958
2767761.473706115,375.0938504239435,663.7720749127548,11056.295429251935,247.06820404955712,12.67271541088428,171.62401956738955
2767752.5643712846,376.00847187195853,646.3215807257269,11086.994833413648,239.3117919181075,14.139061604723402,172.65988890356178
2767751.0743704606,370.2821040065565,630.7695918824364,11114.473381009831,232.31926957422453,15.28468050391018,173.79660227493954
2767754.6391121373,361.3046371932598,615.8847445494944,11139.028247358976,225.96439704812602,16.16724266439654,175.01161875136415
2767761.9857720225,350.8317103105718,601.1110723306662,11160.870456758668,220.08085665527403,16.833688891443906,176.2864427243125
2767772.3850790146,339.7917907164915,586.2336821921352,11180.14323789839,214.51863207941574,17.32173030396046,177.605847478935
2767785.3930494417,328.6777690366515,571.2073431513799,11196.941268572653,209.16173953105272,17.661601858815573,178.9572280818862
2767800.7219228568,317.74704152920424,556.0667977119026,11211.327224339135,203.92926026266738,17.877667370200683,180.33008559429538
2767818.172657268,307.1276818098663,540.879647973894,11223.34463467406,198.77000518376357,17.98974753798433,181.71562520648544
