S,E,I,R,H,C,D
2769113.0000000005,462.0,2520.0000000000005,6193.000000000002,1845.0,26.000000000000004,129.00000000000003
2769029.5327167166,485.7109613096812,2260.8642633065333,6810.9907160143275,1540.9216068397736,29.168105475904053,130.81163032791852
2768953.712584622,501.29315294472684,2042.1774261830083,7325.537839716974,1301.7683272381353,30.733934849007856,132.7767344264901
2768884.6519831982,510.57042339007546,1856.79874675789,7757.6848476408395,1112.3128204741408,31.17476832474423,134.80641018512327
2768822.023554384,514.6242800365154,1698.8764896392752,8123.691433624045,961.1042204537973,30.841259509887486,136.83876231391952
2768765.6793452753,514.2529562552975,1563.5687260441903,8436.189149570175,839.4881448557779,29.989975648244265,138.8317023035643
2768715.48005358,510.15923449503924,1446.8658754995924,8705.041953646767,740.8877299639342,28.807555022828513,140.75759773372198
2768671.241130259,503.0018453681685,1345.4607510308933,8937.991009992633,660.2772922592192,27.428675364949843,142.59929565703817
2768632.731761072,493.3933097714206,1256.6409059722298,9141.141060000478,593.7963458952438,25.949448156481406,144.3471690548651
2768599.690501211,481.8861318800231,1178.1941122308667,9319.329676531805,538.465228065737,24.437423336538462,145.99692665736075
2768599.690501211,481.8861318800231,1178.194112230867,9319.329676531806,538.465228065737,24.437423336538462,145.99692665736075
2768583.1786031513,458.77863184725663,1107.2158174986557,9472.911426179116,493.8270888780661,24.366738914518965,147.72169343448746
2768568.8939603805,439.0597396284075,1041.9236446891143,9609.157304689927,455.5142682051112,24.019608335933388,149.43147396466503
2768556.967562922,421.8488150585327,982.1106158637552,9730.255840915539,422.23105236194726,23.47647684685612,151.10963591541537
2768547.582755784,406.40316189087713,927.4346393076906,9838.007033758024,393.0298232941391,22.798068025300537,152.74451781428178
2768540.916998237,392.1419021324366,877.4674579193505,9933.91474143421,367.20034811847046,22.030336352884,154.32821567094155
2768537.0931433938,378.65601845514453,831.7411546081097,10019.250568630734,344.19540052519716,21.208044923323115,155.85566931971607
2768536.166385391,365.6846919226407,789.7865277021739,10095.099235696589,323.58180632744586,20.357386217250614,157.32396658850303
2768538.132479322,353.07762340102147,751.1595174280546,10162.392006484864,305.00862969250994,19.497935238369447,158.73180826944954
2768542.9427685593,340.7589525496155,715.456278744443,10221.932313570602,288.18646092788777,18.644131544361965,160.07909393128486
2768542.9427685593,340.7589525496155,715.456278744443,10221.932313570602,288.1864609278878,18.644131544361965,160.0790939312849
2768561.426394193,318.90264344011695,681.26285164583,10275.06682355107,272.9480863544545,17.000166609885582,161.39303402303986
2768580.636878031,300.96864029230363,647.8833367138011,10321.618856822352,258.75772784659733,15.541940011887155,162.59262008955827
2768600.868423993,285.885213462496,615.8837972605228,10361.990288863968,245.43603350104584,14.245575072013963,163.6906676458194
2768622.3845760925,272.8207140657242,585.5587913159426,10396.554965885707,232.89237983576996,13.09023083328767,164.69834175962168
2768645.396692188,261.1561901594721,557.01491234539,10425.670408772614,221.07851427477374,12.057907186932205,165.6253748517768
2768670.0454237587,250.4599556907521,530.2379943271195,10449.680817382296,209.96240873220262,11.133134525379988,166.4802653537209
2768696.403332869,240.44816691848487,505.1441710833487,10468.91617714635,199.51506798248627,10.302631775664713,167.27045198577468
2768724.488641626,230.9432721942772,481.61535035164775,10483.690197790762,189.70509558046513,9.554979045792962,168.00246316279222
2768754.280833956,221.83902873597577,459.52186392454473,10494.298433729333,180.49746936344062,8.880326537783857,168.68204349443286
2768754.280833956,221.83902873597577,459.5218639245447,10494.298433729335,180.49746936344064,8.880326537783857,168.68204349443286
2768786.191603823,212.67235814967808,438.67699387612714,10499.028091289152,172.0309475444085,9.988683654869174,169.41132139452122
2768818.6867131246,204.79413516294113,419.04972081219535,10500.295646121824,164.13967750302442,10.818665183652746,170.21544181396538
2768851.7641663617,197.93198339128074,400.7022253582855,10498.347618600561,156.75990626935896,11.41930322247298,171.07479650904858
2768885.4916329873,191.80646803857047,383.6311616320829,10493.413995215136,149.85187624544002,11.831612075015455,171.97325351017784
2768919.9537725663,186.17968887054394,367.78072012492356,10485.711337031122,143.38686602527574,12.0900208536257,172.89759422204565
2768955.2192676035,180.8763658482184,353.06104325247696,10475.44327328403,137.3395515189947,12.223451169470335,173.8370470076193
2768991.3301056707,175.7808644731805,339.3656672716614,10462.799973185436,131.68433719458733,12.256157387217295,174.78289449195742
2769028.303009434,170.8240150285935,326.5846706412833,10447.957521967557,126.3942333113597,12.208409807007861,175.72813947562642
2769066.135054911,165.968829138767,314.61309447643623,10431.077627179226,121.4411036777487,12.097070904907634,176.66721936772927
