S,E,I,R,H,C,D
2740436.0000000005,1439.0000000000002,1835.0000000000002,31538.0,117.0,38.00000000000001,4886.0
2739874.510399056,1853.4522499921877,1909.9502325105173,31600.59457125953,127.0579083257989,34.56540153888591,4888.869237307245
2739263.9881400843,2231.7913270669283,2053.8627921513025,31679.56289693825,136.48181563456282,31.819044423951308,4891.493983681482
2738578.621004117,2604.371493774761,2252.999488018622,31782.5859748521,146.83528432501635,29.66216954462493,4893.924585338984
2737797.3617891776,2991.412616848205,2500.5698261169805,31916.40345213403,159.01449335108057,28.032713262136905,4896.205109071299
2736901.0892929863,3407.506310111126,2794.209077997293,32087.36748825707,173.5614860430205,26.890715331026435,4898.375629225506
2735871.0713777905,3864.0915238656544,3134.4868870702194,32301.8213136249,190.84493061940304,26.210329182722145,4900.473637788339
2734687.9522058386,4370.9802324245775,3524.021511984636,32566.37178932437,211.1637101566539,25.975570409605698,4902.534979794953
2733331.0236239997,4937.331903618009,3966.9673137984882,32888.09853067703,234.80593305808176,26.178154230562047,4904.594540542284
2731777.6629130426,5572.289594257308,4468.7347316609,33274.726836646114,262.0826296748883,26.8164842361369,4906.686810396972
2731777.6629130426,5572.289594257308,4468.7347316609,33274.726836646114,262.0826296748884,26.8164842361369,4906.686810396972
2730129.76003323,6168.052664929745,5026.730895206877,33749.1005499467,281.3659383400674,25.286521617253058,4908.703396634326
2728401.343512383,6723.6253973727935,5621.423184517615,34301.53997774244,306.2630268818376,24.187162367317356,4910.617738630625
2726547.834562959,7287.247383628495,6244.8602419640165,34937.275430855516,335.8189237060362,23.50088671278593,4912.462570060705
2724538.2576774526,7885.627607540221,6897.557892668439,35660.79413421111,369.2886951719407,23.20494032426478,4914.269052508194
2722348.521101166,8534.13668653266,7584.100779596307,36476.70743923691,406.1931348574275,23.274374711476533,4916.066483765293
2719957.8866246766,9242.18208524617,8310.869275871059,37390.198173487326,446.29687465284854,23.684733056221965,4917.882232866859
2717346.9006990753,10016.228511081155,9084.913604385305,38407.239985685184,489.561348478256,24.413994983614355,4919.741856157767
2714496.167346207,10861.475549868086,9913.450003006697,39534.69773590194,536.0962452838163,25.443783933488245,4921.669335636317
2711385.6205570186,11782.760890474245,10803.681995247081,40780.37052135078,586.1186654844328,26.759982759361513,4923.687387493303
2711385.620557018,11782.760890474245,10803.681995247081,40780.37052135078,586.1186654844328,26.75998275936151,4923.687387493303
2709256.1478454983,11640.140227252818,11650.888552833796,42150.4069135226,638.7778531627906,26.96495964638671,4925.673647900513
2707228.3150855713,11443.648571063992,12342.98551658951,43627.563810816115,691.2975534532917,27.502130273506452,4927.6873320393925
2705248.362710003,11252.23502295716,12897.755712038192,45191.6841391512,740.9008012502256,28.310694324909225,4929.750920072015
2703290.937507048,11087.915483074208,13338.192632710987,46824.74203023768,786.0061003571732,29.324121577500264,4931.882124782362
2701344.5479355487,10955.951922449009,13686.593014991051,48511.41446274657,825.9207075153143,30.4781791776025,4934.093777349036
2699404.5076121674,10854.436100925386,13962.34616962598,50239.05157974323,860.5486904112948,31.71566171417009,4936.394185179845
2697469.3582198974,10778.8952591482,14181.414674302312,51997.396972171075,890.1585247523053,32.988605040366586,4938.787744445982
2695539.0829219352,10724.398218735836,14356.539242998151,53778.23002532732,915.2151417019043,34.258798224901184,4941.275650824374
2693614.2386291455,10686.428246898915,14497.701701665237,55575.010750388756,936.2668029202586,35.49726121705193,4943.856607502273
2693614.2386291455,10686.428246898915,14497.701701665239,55575.010750388756,936.2668029202586,35.49726121705193,4943.856607502273
2692343.09729584,10074.223518903938,14554.926397150424,57428.76349570694,903.7454560205667,37.75418639378886,4946.489649712892
2691243.1573230973,9439.895901089678,14476.826472854824,59259.98828426192,880.4195157708277,39.44826910339251,4949.264233540656
2690263.7539492603,8832.683355168963,14283.738804388227,61054.32301374682,861.6369593562445,40.71877056667612,4952.145147221635
2689379.494621803,8269.632703889032,13999.403037565326,62799.27132101822,844.4398788582436,41.653193232052935,4955.105243333271
2688576.7748025735,7753.896802088757,13646.066426768717,64484.74558488771,827.0870000031015,42.306935013794956,4958.122448354131
2687847.593444613,7282.973032752196,13242.820119878115,66103.05364862336,808.6653793372062,42.71642788997323,4961.177946586564
2687186.615032503,6852.438578521994,12805.326135489235,67648.65768107248,788.7999115445925,42.907527519620274,4964.255133020149
2686589.7834035177,6457.571454854188,12346.098704756889,69117.8598260519,767.4469449694836,42.9006184778257,4967.339047033975
2686053.675631549,6093.993672433197,11874.962644827885,70508.48522656622,744.7531923293255,42.713540454802164,4970.416091491051
2686053.675631549,6093.993672433197,11874.962644827885,70508.48522656622,744.7531923293255,42.713540454802164,4970.416091491051
2685830.274763384,5526.848047170264,11376.548969944963,71810.43640201262,730.6351843151068,41.08884925799057,4973.167783556746
2685706.212466635,4989.506123889348,10836.170172528195,73030.0017935077,711.692073389284,39.59993736432541,4975.817432317499
2685653.821197079,4500.237973983069,10267.996671864146,74161.65044871552,688.7233554179934,38.19802525329255,4978.372327308924
2685658.737138529,4061.8934514567695,9686.103501278252,75202.04376451441,662.5383834785633,36.84679782640425,4980.836962528771
2685712.536310425,3671.469812993945,9102.471890568348,76149.85517627251,633.932467379886,35.5205469802103,4983.2137949829485
2685809.5680443197,3324.0830909738797,8526.557445216013,77005.43352052593,603.6516317787925,34.20238282548624,4985.503883953706
2685945.540336278,3014.6027664586204,7965.454882807235,77770.44610613046,572.3659853823087,32.88250796908576,4987.707414557681
2686116.8847380225,2738.271387969051,7424.253855376356,78447.55401069486,540.6552786301133,31.556617242696305,4989.824111638507
2686320.46896991,2490.892012432996,6906.42020209876,79040.13602472201,509.00475834292905,30.224477954663165,4991.853554103228
2686320.46896991,2490.892012432996,6906.42020209876,79040.13602472201,509.0047583429292,30.22447795466317,4991.853554103229
2686397.26642519,2409.0652684021074,6429.37015101772,79557.42914498708,470.76451955517166,32.43884320164815,4992.6656471998185
2686527.3622609153,2298.4578712923376,5999.641489783407,79999.5623489558,436.62580292731764,33.82596017948619,4993.524265490205
2686695.078195172,2178.238575127303,5606.926042213641,80373.80617338124,405.9792565012924,34.56147771757836,4994.410279422274
2686892.257266411,2057.1750514080095,5245.060509863117,80686.12736475517,378.2842802576352,34.78686355677071,4995.308663273471
2687114.245376185,1939.2337835198537,4909.979387441946,80941.62626784416,353.0918357566356,34.615658499228225,4996.207690269387
2687358.0758448564,1826.1309545368536,4598.7373804960225,81144.77936415611,330.0392896839394,34.13888617747076,4997.098279599582
2687621.6173667405,1718.5279251070488,4309.031837357099,81299.58328193515,308.8366053096022,33.42951156845013,4997.973471478877
