S,E,I,R,H,C,D
2726355.0000000005,328.00000000000006,343.0000000000001,47749.000000000015,10.0,3.0,5500.999999999999
2726607.5863426253,322.4024521580912,360.2020478943068,47484.92255907871,9.946757401143119,2.936604319229975,5501.003236514206
2726847.5501447804,327.6845376256018,375.00398133607484,47224.86452160419,10.007419437395452,2.882986409971641,5501.006408786718
2727075.969099678,340.773787069983,389.61543091249973,46968.647889398744,10.14302926746995,2.8412348847043765,5501.009528759346
2727293.567868658,359.5145623150041,405.41240219754195,46716.342635534915,10.337806269263712,2.812115142181772,5501.012609844676
2727500.805322144,382.41396894882763,423.21048863471276,46468.17084758701,10.587783134552353,2.7959235127024273,5501.015665990244
2727697.8891813937,408.49937321985976,443.4630985989625,46224.442426814065,10.894331888757511,2.792876624627062,5501.018711403111
2727884.8084693574,437.1872716587174,466.4043330851785,45985.514196226984,11.260713409247625,2.803255641914409,5501.021760554372
2728061.376170068,468.1687436450472,492.14665807723424,45751.76574055628,11.690425803370927,2.8274335031666453,5501.024828270572
2728227.26841412,501.3205286046943,520.744167359399,45523.58654467527,12.186559647890514,2.8658556805333655,5501.0279298257865
2728227.26841412,501.3205286046943,520.744167359399,45523.586544675265,12.186559647890514,2.8658556805333655,5501.0279298257865
2728418.30438283,504.07702275663195,548.7169388762843,45299.939969042156,14.062509399766704,2.860733625399338,5501.038443373695
2728592.046468308,520.5163905185747,574.7723031938036,45082.048528665844,15.65532191716929,2.911943014260316,5501.0490442763785
2728750.420049926,546.2723954684774,601.4740960993082,44869.722799297735,17.047454688913053,3.0032951677253132,5501.059909236801
2728894.576242238,578.5245816725017,630.31117579794,44663.078921824665,18.31433355786788,3.1235801881885155,5501.071164596252
2729025.1551620797,615.4651416166962,662.0999957935758,44462.412264525476,19.51903671460441,3.265496388968489,5501.0829027465015
2729142.3885468994,656.0093339492353,697.253333907661,44268.117552683594,20.711390682476733,3.424647053511244,5501.095194679705
2729246.189617935,699.5732766116682,735.9601365410441,44080.64092649846,21.929245862771293,3.5986972796054046,5501.108099117453
2729336.233111224,745.9041058208519,778.3003726246184,43900.45339730176,23.20062962223308,3.786714378476697,5501.121668864774
2729412.0177056873,794.9592389136209,824.3144150496706,43728.03796099671,24.54604443680345,3.988679693547984,5501.135955049976
2729412.0177056873,794.9592389136208,824.3144150496706,43728.037960996706,24.54604443680345,3.988679693547984,5501.135955049976
2729513.012494719,810.9608586150389,870.0136429565313,43565.02998641323,24.57576933001228,4.254429918273135,5501.152817866223
2729583.5214714063,850.2898313450858,915.0025077574662,43409.55454064788,24.97259243906161,4.488357655656303,5501.170698556925
2729626.2458171505,906.0190553910332,963.3405258031876,43261.85821932461,25.640658921859178,4.706222954400386,5501.189500252836
2729642.408613565,973.8977393920773,1017.410664248355,43122.61767651,26.537036108219148,4.919089643342357,5501.209180321538
2729632.321735471,1051.3301520289797,1078.5776095811218,42992.75920670611,27.64616506331681,5.13539522974421,5501.229735698676
2729595.5851363526,1136.8745033883386,1147.611857314924,42873.34947479643,28.965800234298495,5.3620331539773165,5501.251194528258
2729531.2349914247,1229.8842574726316,1224.968981440021,42765.533558531526,30.499691628239976,5.604908191020406,5501.273611070712
2729437.8660124782,1330.2428619460254,1310.9666527562588,42670.50407313011,32.254111429388836,5.8692257170342605,5501.297062291617
2729313.722026949,1438.1789954552514,1405.8914276122925,42589.48979247403,34.23645587548894,6.159656020227714,5501.321645352588
